מס' קטלוגי,קטגוריה,תת-קטגוריה,נושא / זכות,קהל יעד,תיאור הזכות,טווח הטבה,כללית,מכבי,מאוחדת,לאומית,הקופה המשתלמת,מקור
983,הנחות ופטורים,מס הכנסה,פטור ממס הכנסה לאנשים עם נכות 90% ומעלה,"אנשים עם נכות רפואית מוכרת של 90% ומעלה (בתנאים מסוימים) שיש להם הכנסה חייבת במס. כולל שכירים, עצמאיים, מקבלי קצבאות חייבות, הכנסות ריבית ועוד. נכי צה""ל ונפגעי פעולות איבה — תקרת הפטור גבוהה יותר.",מי שנכותו הרפואית עומדת על 90% ומעלה (בתנאים מסוימים) זכאי לפטור מלא ממס הכנסה עד תקרה שנתית.,"הטבה/מימון בין 81,960 ל-684,000 ₪",,,,,,
984,שיקום העיוור / נכי ראייה,תעודת עיוור,"תעודת עיוור ולקוי ראייה — הנפקה, הכרה וזכאות להטבות","אזרחי ישראל שיש להם אחד מהמצבים הבאים:
1. היעדר ראייה מוחלט בשתי העיניים.
2. חדות ראייה בעין הטובה ≤3/60 (0.05) לאחר תיקון.
3. שדה ראייה מצומצם ≤20 מעלות בעין הטובה.

התעודה מוכרת גם לצורך ביטוח לאומי, הנחות בארנונה, פטור מתחבורה ציבורית, וגישה לשיקום העיוור. ניתנת גם לאנשים עם שארית ראייה שעומדים בסף הנ""ל.",תעודת עיוור היא מסמך רשמי שמשרד הרווחה מנפיק לאנשים שאיבדו את ראייתם באופן משמעותי — בין אם לחלוטין ובין אם שארית הראייה שלהם נמוכה מאוד.,,,,,,,
985,שיקום העיוור / נכי ראייה,מכשירי שיקום,מימון אביזרי עזר לראייה — עיוורים ולקויי ראייה מגיל שנתיים,"בעלי תעודת עיוור (עיוורים ולקויי ראייה) מגיל שנתיים ומעלה, תושבי ישראל.
כולל תוכנת הגדלה, מכשיר קריאה/הקראה, מקל נחייה, מצג ברייל, מכשיר זיהוי, ועוד.
השתתפות חלה על רשימת אביזרים מאושרת (""סל עזרים כלליים ד'2"").","עיוורים ולקויי ראייה שיש להם תעודת עיוור יכולים לקבל סיוע כספי ממשרד הרווחה לרכישת אביזרי עזר לראייה — זכוכיות מגדלת, מכשירי קריאה קולית, תוכנות הגדלה, מקלות נחייה ועוד.","הטבה/מימון עד 6,000 ₪",,,,,,
986,שיקום העיוור / נכי ראייה,כלב נחייה,"כלב נחייה לעיוורים — קבלה, הכשרה ואחזקה ממומנת","עיוורים שעומדים בכל התנאים הבאים:
1. בעלי תעודת עיוור קבועה (לא זמנית).
2. עיוורון מוחלט, או שארית ראייה בלבד.
3. גיל 16 ומעלה.
4. כישורים פיזיים, נפשיים וחברתיים להשתמש בכלב.
5. גר במקום שמתאים לכלב.",עיוורים שעומדים בתנאים יכולים לקבל כלב נחייה ללא עלות — הכלב מסופק בהשאלה ממשרד הרווחה ועובר הכשרה מקצועית.,,,,,,,
987,שיקום העיוור / נכי ראייה,ניידות,"הטבות ניידות והנחות לעיוורים — תחבורה ציבורית, ארנונה ועוד","בעלי תעודת עיוור תקפה (עיוורים ולקויי ראייה).
חלק מההטבות ניתנות גם למלווה של העיוור.","בעלי תעודת עיוור נהנים מפטור מלא מתשלום על נסיעות בתחבורה ציבורית — אוטובוסים, רכבת ורכבת קלה.",,,,,,,
988,שמיעה ונכי שמיעה,מכשירי שמיעה ושתל קוכלארי,"שיקום נכי שמיעה — מכשירי שמיעה, שתל קוכלארי ומתורגמני שפת סימנים","1. ילדים ומבוגרים עם ליקוי שמיעה המתאימים לאמפליפיקציה (מכשיר שמיעה).
2. ילדים וצעירים עם חרשות שאינה ניתנת לשיקום במכשיר שמיעה (שתל קוכלארי).
3. חירשים מלידה ובעלי ליקוי שמיעה קשה/עמוק — לסל תקשורת ושירותי תרגום.","אנשים עם ליקוי שמיעה זכאים לסיוע כספי לרכישת מכשיר שמיעה דרך קופת החולים — כ-3,141 ₪ לאוזן למבוגרים, לתקופה של 3.5 שנים.","הטבה/מימון בין 377 ל-6,000 ₪",,,,,,
989,שיתופי פעולה מסחריים (לייזר/אופטיקה/שמיעה),"ידידי מד""א","ידידי מד""א — מועדון ידידים תורמים להטבות ראשית עזרה","כל אזרח ישראלי המעוניין לתרום למד""א באופן קבוע ולקבל הטבות בתמורה. אין קהל ייעוד סלקטיבי — פתוח לכולם. מדובר במועדון תורמים, לא בשירות חירום.","ידידי מד""א הוא מועדון ידידים תורמים של מד""א ישראל.",,,,,,,
990,שיתופי פעולה מסחריים (לייזר/אופטיקה/שמיעה),ניתוחי לייזר לעיניים,ניתוחי לייזר לעיניים — מחירים מסובסדים דרך קופות החולים (LASIK/PRK/IntraLASIK/SMILE),"מבוטחים מגיל 18 ומעלה בעלי ביטוח משלים ברמה הרלוונטית, עם ותק מינימלי של 6 חודשים בקופה. הניתוח ניתן פעם אחת בחיים במסגרת ההסדר. אינו מיועד לטיפולים חוזרים, לניתוחים בגין קרטוקונוס חמור, או לפני גיל 18.",מחזיקי ביטוח משלים בקופות החולים יכולים לעבור ניתוח לייזר לעיניים במחיר מוזל משמעותי — עשרות אחוזים מתחת למחיר הפרטי.,"הטבה/מימון בין 4,350 ל-13,000 ₪",,,,,,
991,שיתופי פעולה מסחריים (לייזר/אופטיקה/שמיעה),מכשירי שמיעה,"מכשירי שמיעה — סבסוד קופות החולים, ביטוחים משלימים וחברות בהסדר","מבוטחים מגיל 18 ומעלה עם לקות שמיעה המחייבת שיקום בעזרת מכשיר שמיעה, לפי אבחון רופא אף-אוזן-גרון. ילדים עד גיל 18 — הסדרים נפרדים דרך משרד הבריאות (עד 6,000 ₪ כל 3 שנים).",כל אזרח ישראלי מגיל 18 עם לקות שמיעה מוכחת זכאי לסבסוד ממשלתי לרכישת מכשיר שמיעה דרך קופת החולים שלו — ללא קשר לביטוח משלים.,"הטבה/מימון בין 65 ל-18,000 ₪",,,,,,
992,שיתופי פעולה מסחריים (לייזר/אופטיקה/שמיעה),משקפיים ואופטיקה,משקפיים — הנחות והשתתפות דרך קופות החולים ורשתות אופטיקה בהסדר,מבוטחי קופות החולים בעלי ביטוח משלים. ילדים עד גיל 8 ב-כללית — זכאים דרך אופטיקנה גם ללא ביטוח משלים מורחב.,חברי ביטוח משלים בקופות החולים נהנים מהנחות משמעותיות על משקפי ראייה ברשתות אופטיקה מסוימות.,הטבה/מימון בין 120 ל-600 ₪,,,,,,
993,שיתופי פעולה מסחריים (לייזר/אופטיקה/שמיעה),עדשות מגע,עדשות מגע לקרטוקונוס — החזר קופות החולים,עיקרית: מבוטחים הסובלים מקרטוקונוס הדורש עדשות מגע קשיחות/RGP. עדשות מגע רגילות לקוצר ראייה — אין מידע מפורסם ממרבית הקופות; מומלץ לבדוק. ילדים עד 18 — מימון מלא ממשרד הבריאות.,אנשים הסובלים מקרטוקונוס הזקוקים לעדשות מגע קשיחות יכולים לקבל החזר כספי משמעותי מקופת החולים — עד 80% ממחיר העדשה בחלק מהקופות.,"הטבה/מימון בין 794 ל-1,230 ₪",,,,,,
994,שיתופי פעולה מסחריים (לייזר/אופטיקה/שמיעה),טיפולי שיניים,טיפולי שיניים — מחירי השתתפות עצמית בקופות החולים ורשתות שיניים בהסדר,"כל מבוטחי קופות החולים (ילדים, מבוגרים, אזרחים ותיקים). ילדים עד 18 — זכאים לסל שיניים בסיסי ממשרד הבריאות ללא תשלום. אזרחים ותיקים 72+ — טיפולים מניעתיים חינם ומשקמים בהשתתפות נמוכה.",קופות החולים מפעילות רשתות שיניים בהסדר המציעות טיפולים במחיר מוזל לכל המבוטחים.,"הטבה/מימון בין 68 ל-1,358 ₪",,,,,,
995,שיתופי פעולה מסחריים (לייזר/אופטיקה/שמיעה),בדיקות גנטיות,בדיקות גנטיות — סל בריאות ממשלתי ותוספות ביטוח משלים בקופות החולים,זוגות בגיל פוריות לפני היריון — סקר גנטי מורחב. גברים ונשים לפני הריון ראשון (או כל הריון). נשים בהריון — בדיקות גנטיות כחלק מסל ההיריון. חולים אונקולוגיים — בדיקות גנטיות לאפיון גידול. בעלי רקע משפחתי של מחלות גנטיות.,"מאז 2024, כל זוג בגיל פוריות בישראל יכול לבצע סקר גנטי מורחב לפני הריון — חינם לחלוטין, ללא תלות במוצא.","הטבה/מימון בין 80 ל-2,000 ₪",,,,,,
996,שיתופי פעולה מסחריים (לייזר/אופטיקה/שמיעה),חדרי כושר ופעילות גופנית,"חדרי כושר — מנויים מסובסדים דרך קופות החולים (UPAPP, WOW, FiT ועוד)","חברי ביטוח משלים ברמה הגבוהה (מושלם פלטינום, מכבי שלי, מכבי זהב, מאוחדת שיא, לאומית זהב), מגיל 14 ומעלה (לחלק מהתוכניות).",כל קופות החולים מציעות כיום כניסות לחדרי כושר ואימונים אישיים במחיר מוזל דרך אפליקציות ייעודיות — ב-20–30 ₪ לכניסה במקום 50–100 ₪ פרטי.,הטבה/מימון עד 50 ₪,,,,,,
997,שיתופי פעולה מסחריים (לייזר/אופטיקה/שמיעה),נופש והבראה לאחר ניתוח/אשפוז,הבראה לאחר אשפוז/ניתוח — מסגרות ומלונות בהסדר עם קופות החולים,"מבוטחים שעברו אשפוז ממושך (בדרך כלל 8–10 ימים ומעלה) ו/או ניתוח מורכב, ומצריכים תקופת החלמה לאחר שחרור מבית החולים.",חברי ביטוח משלים שעברו אשפוז ממושך או ניתוח מורכב יכולים לקבל מימון מקופת החולים לתקופת החלמה במלון או מרכז שיקומי.,הטבה/מימון בין 200 ל-550 ₪,,,,,,
998,שיתופי פעולה מסחריים (לייזר/אופטיקה/שמיעה),רפואה משלימה,"רפואה משלימה — טיפולים מסובסדים דרך קופות החולים (עיסוי, דיקור, שיאצו, רפלקסולוגיה ועוד)",חברי ביטוח משלים בדרגה הרלוונטית (מושלם/פלטינום/שלי/זהב/שיא/עדיף/זהב). חולים אונקולוגיים — הנחות נוספות בחלק מהקופות.,"חברי ביטוח משלים יכולים לקבל עשרות טיפולי רפואה משלימה בשנה במחיר מסובסד — עיסוי, דיקור, שיאצו, רפלקסולוגיה ועוד.","הטבה/מימון בין 67 ל-10,000 ₪",,,,,,
999,שיתופי פעולה מסחריים (לייזר/אופטיקה/שמיעה),אביזרי תקשורת ועזר לעיוורים ולקויי שמיעה,"אביזרי תקשורת עזר לעיוורים ולקויי ראייה/שמיעה — מכשירי תת""ח ו-OrCam דרך קופות החולים","עיוורים ולקויי ראייה — מכשירי עזר לראייה, OrCam MyEye, מענק תקשורת שנתי. לקויי שמיעה וחירשים — אביזרי עזר לשמיעה (מערכת שמע לטלוויזיה, מבזק לפעמון, שעון ויברציה). בעלי לקות בתקשורת מילולית — מכשירי תקשורת תומכת וחלופית (תת""ח).",עיוורים ולקויי ראייה זכאים למענק שנתי של 360 ₪ לתקשורת ולהנחה של 50% בחשבון הטלפון.,"הטבה/מימון בין 360 ל-8,000 ₪",,,,,,
